compression,compression_level,format,nprocs,operation,runtime,size_in_bytes
,,zarr,12,write,0.02482914924621582,8000000
,,hdf,12,write,0.028338909149169922,8000000
,,zarr,12,write,0.027304649353027344,8000000
,,hdf,12,write,0.09778022766113281,8000000
,,zarr,12,write,0.03212547302246094,8000000
,,hdf,12,write,0.04363703727722168,8000000
,,zarr,12,write,0.025084495544433594,8000000
,,hdf,12,write,0.08577370643615723,8000000
,,zarr,12,write,0.02641010284423828,8000000
,,hdf,12,write,0.040990591049194336,8000000
,,zarr,12,write,0.0238192081451416,8000000
,,hdf,12,write,0.0977168083190918,8000000
,,zarr,12,write,0.023174762725830078,8000000
,,hdf,12,write,0.08117866516113281,8000000
,,zarr,12,write,0.029147863388061523,8000000
,,hdf,12,write,0.09412455558776855,8000000
,,zarr,12,write,0.02929067611694336,8000000
,,hdf,12,write,0.04974198341369629,8000000
,,zarr,12,write,0.02666473388671875,8000000
,,hdf,12,write,0.0932765007019043,8000000
,,zarr,12,write,0.029209613800048828,8000000
,,hdf,12,write,0.10104990005493164,8000000
,,zarr,12,write,0.02870965003967285,8000000
,,hdf,12,write,0.09016013145446777,8000000
,,zarr,12,write,0.02652263641357422,8000000
,,hdf,12,write,0.03637051582336426,8000000
,,zarr,12,write,0.02449202537536621,8000000
,,hdf,12,write,0.10952210426330566,8000000
,,zarr,12,write,0.023703575134277344,8000000
,,hdf,12,write,0.05525612831115723,8000000
,,zarr,12,write,0.026021242141723633,8000000
,,hdf,12,write,0.12043046951293945,8000000
,,zarr,12,write,0.040766000747680664,8000000
,,hdf,12,write,0.044774532318115234,8000000
,,zarr,12,write,0.026918411254882812,8000000
,,hdf,12,write,0.2818746566772461,8000000
,,zarr,12,write,0.025435209274291992,8000000
,,hdf,12,write,0.3346860408782959,8000000
,,zarr,12,write,0.025988340377807617,8000000
,,hdf,12,write,0.06968021392822266,8000000
,,zarr,12,write,0.029349088668823242,8000000
,,hdf,12,write,0.02954554557800293,8000000
,,zarr,12,write,0.023902416229248047,8000000
,,hdf,12,write,0.08530163764953613,8000000
,,zarr,12,write,0.03758072853088379,8000000
,,hdf,12,write,0.1097254753112793,8000000
,,zarr,12,write,0.09563922882080078,8000000
,,hdf,12,write,0.037995338439941406,8000000
,,zarr,12,write,0.025227785110473633,8000000
,,hdf,12,write,0.042235612869262695,8000000
,,zarr,12,write,0.027706623077392578,8000000
,,hdf,12,write,0.1720564365386963,8000000
,,zarr,12,write,0.028998136520385742,8000000
,,hdf,12,write,0.03546023368835449,8000000
,,zarr,12,write,0.02521538734436035,8000000
,,hdf,12,write,0.1728649139404297,8000000
